"location_key","city","state","country","region","market"
Toluca-México-Mexico,Toluca,México,Mexico,North,LATAM
Korba-Chhattisgarh-India,Korba,Chhattisgarh,India,Central Asia,APAC
Tehuacán-Puebla-Mexico,Tehuacán,Puebla,Mexico,North,LATAM
Langfang-Hebei-China,Langfang,Hebei,China,North Asia,APAC
Kunming-Yunnan-China,Kunming,Yunnan,China,North Asia,APAC
Kozan-Adana-Turkey,Kozan,Adana,Turkey,EMEA,EMEA
Petare-Miranda-Venezuela,Petare,Miranda,Venezuela,South,LATAM
Fontenay-le-Comte-Pays de la Loire-France,Fontenay-le-Comte,Pays de la Loire,France,Central,EU
Bandirma-Balikesir-Turkey,Bandirma,Balikesir,Turkey,EMEA,EMEA
Reynosa-Tamaulipas-Mexico,Reynosa,Tamaulipas,Mexico,North,LATAM
Surat-Gujarat-India,Surat,Gujarat,India,Central Asia,APAC
Riom-Auvergne-France,Riom,Auvergne,France,Central,EU
Jaú-São Paulo-Brazil,Jaú,São Paulo,Brazil,South,LATAM
Salamanca-Castile and León-Spain,Salamanca,Castile and León,Spain,South,EU
Aba-Abia-Nigeria,Aba,Abia,Nigeria,Africa,Africa
Arauca-Arauca-Colombia,Arauca,Arauca,Colombia,South,LATAM
Kingswood-England-United Kingdom,Kingswood,England,United Kingdom,North,EU
Plantation-Florida-United States,Plantation,Florida,United States,South,US
Barddhaman-West Bengal-India,Barddhaman,West Bengal,India,Central Asia,APAC
Krasnyy Luch-Luhans'k-Ukraine,Krasnyy Luch,Luhans'k,Ukraine,EMEA,EMEA
Schiltigheim-Alsace-France,Schiltigheim,Alsace,France,Central,EU
Stadtlohn-North Rhine-Westphalia-Germany,Stadtlohn,North Rhine-Westphalia,Germany,Central,EU
Vicenza-Veneto-Italy,Vicenza,Veneto,Italy,South,EU
Termez-Surxondaryo-Uzbekistan,Termez,Surxondaryo,Uzbekistan,EMEA,EMEA
Rotorua-Bay of Plenty-New Zealand,Rotorua,Bay of Plenty,New Zealand,Oceania,APAC
Jodhpur-Gujarat-India,Jodhpur,Gujarat,India,Central Asia,APAC
Lormont-Aquitaine-France,Lormont,Aquitaine,France,Central,EU
Sylhet-Sylhet-Bangladesh,Sylhet,Sylhet,Bangladesh,Central Asia,APAC
Dover-New Hampshire-United States,Dover,New Hampshire,United States,East,US
Xinghua-Jiangsu-China,Xinghua,Jiangsu,China,North Asia,APAC
Cainta-Calabarzon-Philippines,Cainta,Calabarzon,Philippines,Southeast Asia,APAC
Freeport-Illinois-United States,Freeport,Illinois,United States,Central,US
Guayaquil-Guayas-Ecuador,Guayaquil,Guayas,Ecuador,South,LATAM
Pune-Maharashtra-India,Pune,Maharashtra,India,Central Asia,APAC
Gaspar-Santa Catarina-Brazil,Gaspar,Santa Catarina,Brazil,South,LATAM
Kurashiki-Okayama-Japan,Kurashiki,Okayama,Japan,North Asia,APAC
Marly-le-Roi-Ile-de-France-France,Marly-le-Roi,Ile-de-France,France,Central,EU
Mazyr-Homyel'-Belarus,Mazyr,Homyel',Belarus,EMEA,EMEA
Mary-Mary-Turkmenistan,Mary,Mary,Turkmenistan,EMEA,EMEA
Naihati-West Bengal-India,Naihati,West Bengal,India,Central Asia,APAC
Karlsruhe-Baden-Württemberg-Germany,Karlsruhe,Baden-Württemberg,Germany,Central,EU
Zhoukou-Henan-China,Zhoukou,Henan,China,North Asia,APAC
Luts'k-Volyn-Ukraine,Luts'k,Volyn,Ukraine,EMEA,EMEA
Borken-North Rhine-Westphalia-Germany,Borken,North Rhine-Westphalia,Germany,Central,EU
São Leopoldo-Rio Grande do Sul-Brazil,São Leopoldo,Rio Grande do Sul,Brazil,South,LATAM
Choluteca-Choluteca-Honduras,Choluteca,Choluteca,Honduras,Central,LATAM
Abakaliki-Ebonyi-Nigeria,Abakaliki,Ebonyi,Nigeria,Africa,Africa
Chipata-Eastern-Zambia,Chipata,Eastern,Zambia,Africa,Africa
Laval-Pays de la Loire-France,Laval,Pays de la Loire,France,Central,EU
La Baule-Escoublac-Pays de la Loire-France,La Baule-Escoublac,Pays de la Loire,France,Central,EU
Mulhouse-Alsace-France,Mulhouse,Alsace,France,Central,EU
Valles-San Luis Potosí-Mexico,Valles,San Luis Potosí,Mexico,North,LATAM
Les Pavillons-sous-Bois-Ile-de-France-France,Les Pavillons-sous-Bois,Ile-de-France,France,Central,EU
Apatzingán de la Constitución-Michoacán-Mexico,Apatzingán de la Constitución,Michoacán,Mexico,North,LATAM
Hamilton-Waikato-New Zealand,Hamilton,Waikato,New Zealand,Oceania,APAC
Montereau-Fault-Yonne-Ile-de-France-France,Montereau-Fault-Yonne,Ile-de-France,France,Central,EU
Highland Park-Illinois-United States,Highland Park,Illinois,United States,Central,US
Poltava-Poltava-Ukraine,Poltava,Poltava,Ukraine,EMEA,EMEA
Taiyuan-Shanxi-China,Taiyuan,Shanxi,China,North Asia,APAC
Jember-Jawa Timur-Indonesia,Jember,Jawa Timur,Indonesia,Southeast Asia,APAC
Southaven-Mississippi-United States,Southaven,Mississippi,United States,South,US
Bistrita-Bistrita-Nasaud-Romania,Bistrita,Bistrita-Nasaud,Romania,EMEA,EMEA
Rouen-Upper Normandy-France,Rouen,Upper Normandy,France,Central,EU
Allahabad-Uttar Pradesh-India,Allahabad,Uttar Pradesh,India,Central Asia,APAC
Barra do Piraí-Rio de Janeiro-Brazil,Barra do Piraí,Rio de Janeiro,Brazil,South,LATAM
Smyrna-Georgia-United States,Smyrna,Georgia,United States,South,US
Baytown-Texas-United States,Baytown,Texas,United States,Central,US
Bafra-Samsun-Turkey,Bafra,Samsun,Turkey,EMEA,EMEA
Tupã-São Paulo-Brazil,Tupã,São Paulo,Brazil,South,LATAM
Winterthur-Zürich-Switzerland,Winterthur,Zürich,Switzerland,Central,EU
Leicester-England-United Kingdom,Leicester,England,United Kingdom,North,EU
Larache-Tanger-Tétouan-Morocco,Larache,Tanger-Tétouan,Morocco,Africa,Africa
Koumra-Mandoul-Chad,Koumra,Mandoul,Chad,Africa,Africa
Cournon-d'Auvergne-Auvergne-France,Cournon-d'Auvergne,Auvergne,France,Central,EU
Craiova-Dolj-Romania,Craiova,Dolj,Romania,EMEA,EMEA
Sale-Rabat-Salé-Zemmour-Zaer-Morocco,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
Lehi-Utah-United States,Lehi,Utah,United States,West,US
Kindia-Kindia-Guinea,Kindia,Kindia,Guinea,Africa,Africa
Jena-Thuringia-Germany,Jena,Thuringia,Germany,Central,EU
West Allis-Wisconsin-United States,West Allis,Wisconsin,United States,Central,US
Águas Lindas de Goiás-Goiás-Brazil,Águas Lindas de Goiás,Goiás,Brazil,South,LATAM
Oxnard-California-United States,Oxnard,California,United States,West,US
Bhilwara-Rajasthan-India,Bhilwara,Rajasthan,India,Central Asia,APAC
Laohekou-Hubei-China,Laohekou,Hubei,China,North Asia,APAC
Athens-Georgia-United States,Athens,Georgia,United States,South,US
Morristown-New Jersey-United States,Morristown,New Jersey,United States,East,US
Bezerros-Pernambuco-Brazil,Bezerros,Pernambuco,Brazil,South,LATAM
Tlalpan-Distrito Federal-Mexico,Tlalpan,Distrito Federal,Mexico,North,LATAM
Ajmer-Rajasthan-India,Ajmer,Rajasthan,India,Central Asia,APAC
Hobart-Tasmania-Australia,Hobart,Tasmania,Australia,Oceania,APAC
Antananarivo-Analamanga-Madagascar,Antananarivo,Analamanga,Madagascar,Africa,Africa
Goussainville-Ile-de-France-France,Goussainville,Ile-de-France,France,Central,EU
Pontoise-Ile-de-France-France,Pontoise,Ile-de-France,France,Central,EU
Tabuk-Tabuk-Saudi Arabia,Tabuk,Tabuk,Saudi Arabia,EMEA,EMEA
Santa Rosa-Rio Grande do Sul-Brazil,Santa Rosa,Rio Grande do Sul,Brazil,South,LATAM
Pompano Beach-Florida-United States,Pompano Beach,Florida,United States,South,US
Reims-Champagne-Ardenne-France,Reims,Champagne-Ardenne,France,Central,EU
Orange-New South Wales-Australia,Orange,New South Wales,Australia,Oceania,APAC
Cherbourg-Octeville-Lower Normandy-France,Cherbourg-Octeville,Lower Normandy,France,Central,EU
Gisborne-Gisborne-New Zealand,Gisborne,Gisborne,New Zealand,Oceania,APAC
Fort Portal-Kabarole-Uganda,Fort Portal,Kabarole,Uganda,Africa,Africa
Margate-Florida-United States,Margate,Florida,United States,South,US
Levallois-Perret-Ile-de-France-France,Levallois-Perret,Ile-de-France,France,Central,EU
Pindamonhangaba-São Paulo-Brazil,Pindamonhangaba,São Paulo,Brazil,South,LATAM
Francisco Beltrão-Parana-Brazil,Francisco Beltrão,Parana,Brazil,South,LATAM
Issoire-Auvergne-France,Issoire,Auvergne,France,Central,EU
Guiping-Guangxi-China,Guiping,Guangxi,China,North Asia,APAC
Newcastle upon Tyne-England-United Kingdom,Newcastle upon Tyne,England,United Kingdom,North,EU
Montigny-le-Bretonneux-Ile-de-France-France,Montigny-le-Bretonneux,Ile-de-France,France,Central,EU
Envigado-Antioquia-Colombia,Envigado,Antioquia,Colombia,South,LATAM
São Pedro da Aldeia-Rio de Janeiro-Brazil,São Pedro da Aldeia,Rio de Janeiro,Brazil,South,LATAM
Yucaipa-California-United States,Yucaipa,California,United States,West,US
Columbia-South Carolina-United States,Columbia,South Carolina,United States,South,US
Khomeynishahr-Esfahan-Iran,Khomeynishahr,Esfahan,Iran,EMEA,EMEA
Belleville-New Jersey-United States,Belleville,New Jersey,United States,East,US
Roanne-Rhône-Alpes-France,Roanne,Rhône-Alpes,France,Central,EU
Silopi-Sirnak-Turkey,Silopi,Sirnak,Turkey,EMEA,EMEA
Maastricht-Limburg-Netherlands,Maastricht,Limburg,Netherlands,Central,EU
Ancona-Marche-Italy,Ancona,Marche,Italy,South,EU
Bur Sudan-Red Sea-Sudan,Bur Sudan,Red Sea,Sudan,Africa,Africa
Changzhou-Jiangsu-China,Changzhou,Jiangsu,China,North Asia,APAC
Paysandú-Paysandú-Uruguay,Paysandú,Paysandú,Uruguay,South,LATAM
Bridgeton-New Jersey-United States,Bridgeton,New Jersey,United States,East,US
Slupsk-Pomerania-Poland,Slupsk,Pomerania,Poland,EMEA,EMEA
Urbandale-Iowa-United States,Urbandale,Iowa,United States,Central,US
Kananga-Kasai-Occidental-Democratic Republic of the Congo,Kananga,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
Barreiras-Bahia-Brazil,Barreiras,Bahia,Brazil,South,LATAM
Zaporizhzhya-Zaporizhzhya-Ukraine,Zaporizhzhya,Zaporizhzhya,Ukraine,EMEA,EMEA
Kita-ku-Osaka-Japan,Kita-ku,Osaka,Japan,North Asia,APAC
Constanta-Constanta-Romania,Constanta,Constanta,Romania,EMEA,EMEA
Vitry-sur-Seine-Ile-de-France-France,Vitry-sur-Seine,Ile-de-France,France,Central,EU
Tete-Tete-Mozambique,Tete,Tete,Mozambique,Africa,Africa
Malakoff-Ile-de-France-France,Malakoff,Ile-de-France,France,Central,EU
Auxerre-Burgundy-France,Auxerre,Burgundy,France,Central,EU
Great Yarmouth-England-United Kingdom,Great Yarmouth,England,United Kingdom,North,EU
Waukesha-Wisconsin-United States,Waukesha,Wisconsin,United States,Central,US
Citrus Heights-California-United States,Citrus Heights,California,United States,West,US
Badajoz-Extremadura-Spain,Badajoz,Extremadura,Spain,South,EU
Wuhan-Hubei-China,Wuhan,Hubei,China,North Asia,APAC
Lecce-Apulia-Italy,Lecce,Apulia,Italy,South,EU
Bristol-Connecticut-United States,Bristol,Connecticut,United States,East,US
Sucy-en-Brie-Ile-de-France-France,Sucy-en-Brie,Ile-de-France,France,Central,EU
Paranaguá-Parana-Brazil,Paranaguá,Parana,Brazil,South,LATAM
Dunstable-England-United Kingdom,Dunstable,England,United Kingdom,North,EU
Acayucan-Veracruz-Mexico,Acayucan,Veracruz,Mexico,North,LATAM
Bacau-Bacau-Romania,Bacau,Bacau,Romania,EMEA,EMEA
Milwaukee-Wisconsin-United States,Milwaukee,Wisconsin,United States,Central,US
Ramat Gan-Tel Aviv-Israel,Ramat Gan,Tel Aviv,Israel,EMEA,EMEA
Antiguo Cuscatlán-La Libertad-El Salvador,Antiguo Cuscatlán,La Libertad,El Salvador,Central,LATAM
Parla-Madrid-Spain,Parla,Madrid,Spain,South,EU
Agrigento-Sicily-Italy,Agrigento,Sicily,Italy,South,EU
San Juan de la Maguana-San Juan-Dominican Republic,San Juan de la Maguana,San Juan,Dominican Republic,Caribbean,LATAM
Cranston-Rhode Island-United States,Cranston,Rhode Island,United States,East,US
Firozabad-Uttar Pradesh-India,Firozabad,Uttar Pradesh,India,Central Asia,APAC
Santa Cruz do Sul-Rio Grande do Sul-Brazil,Santa Cruz do Sul,Rio Grande do Sul,Brazil,South,LATAM
Muskogee-Oklahoma-United States,Muskogee,Oklahoma,United States,Central,US
Turmero-Aragua-Venezuela,Turmero,Aragua,Venezuela,South,LATAM
La Celle-Saint-Cloud-Ile-de-France-France,La Celle-Saint-Cloud,Ile-de-France,France,Central,EU
Wuchuan-Guangdong-China,Wuchuan,Guangdong,China,North Asia,APAC
Bowling Green-Ohio-United States,Bowling Green,Ohio,United States,East,US
Nevsehir-Nevsehir-Turkey,Nevsehir,Nevsehir,Turkey,EMEA,EMEA
Sacramento-California-United States,Sacramento,California,United States,West,US
Aligudarz-Lorestan-Iran,Aligudarz,Lorestan,Iran,EMEA,EMEA
Tongi-Dhaka-Bangladesh,Tongi,Dhaka,Bangladesh,Central Asia,APAC
Zacatecas-Zacatecas-Mexico,Zacatecas,Zacatecas,Mexico,North,LATAM
Ibaraki-Osaka-Japan,Ibaraki,Osaka,Japan,North Asia,APAC
Split-Splitsko-Dalmatinska-Croatia,Split,Splitsko-Dalmatinska,Croatia,EMEA,EMEA
Liaocheng-Shandong-China,Liaocheng,Shandong,China,North Asia,APAC
Campeche-Campeche-Mexico,Campeche,Campeche,Mexico,North,LATAM
Coimbatore-Tamil Nadu-India,Coimbatore,Tamil Nadu,India,Central Asia,APAC
San Pedro de Macorís-San Pedro de Macorís-Dominican Republic,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,Caribbean,LATAM
Huntsville-Texas-United States,Huntsville,Texas,United States,Central,US
Seraing-Liège-Belgium,Seraing,Liège,Belgium,Central,EU
Cambrai-Nord-Pas-de-Calais-France,Cambrai,Nord-Pas-de-Calais,France,Central,EU
Fresno-California-United States,Fresno,California,United States,West,US
Odense-South Denmark-Denmark,Odense,South Denmark,Denmark,North,EU
Riberalta-Beni-Bolivia,Riberalta,Beni,Bolivia,South,LATAM
Edogawa-ku-Tokyo-Japan,Edogawa-ku,Tokyo,Japan,North Asia,APAC
Erlangen-Bavaria-Germany,Erlangen,Bavaria,Germany,Central,EU
Tamarac-Florida-United States,Tamarac,Florida,United States,South,US
Denpasar-Bali-Indonesia,Denpasar,Bali,Indonesia,Southeast Asia,APAC
Bezons-Ile-de-France-France,Bezons,Ile-de-France,France,Central,EU
Stockton-California-United States,Stockton,California,United States,West,US
Barnsley-England-United Kingdom,Barnsley,England,United Kingdom,North,EU
Darwin-Northern Territory-Australia,Darwin,Northern Territory,Australia,Oceania,APAC
Alfortville-Ile-de-France-France,Alfortville,Ile-de-France,France,Central,EU
Khorramshahr-Khuzestan-Iran,Khorramshahr,Khuzestan,Iran,EMEA,EMEA
Bangor-Maine-United States,Bangor,Maine,United States,East,US
Puerto Padre-Las Tunas-Cuba,Puerto Padre,Las Tunas,Cuba,Caribbean,LATAM
San Fernando-Andalusía-Spain,San Fernando,Andalusía,Spain,South,EU
Saint Charles-Illinois-United States,Saint Charles,Illinois,United States,Central,US
Turgutlu-Manisa-Turkey,Turgutlu,Manisa,Turkey,EMEA,EMEA
Villeneuve-sur-Lot-Aquitaine-France,Villeneuve-sur-Lot,Aquitaine,France,Central,EU
Mianyang-Sichuan-China,Mianyang,Sichuan,China,North Asia,APAC
Vanderbijlpark-Gauteng-South Africa,Vanderbijlpark,Gauteng,South Africa,Africa,Africa
Baruta-Miranda-Venezuela,Baruta,Miranda,Venezuela,South,LATAM
Velsen-North Holland-Netherlands,Velsen,North Holland,Netherlands,Central,EU
Chiclana de la Frontera-Andalusía-Spain,Chiclana de la Frontera,Andalusía,Spain,South,EU
Anglet-Aquitaine-France,Anglet,Aquitaine,France,Central,EU
Budënnovsk-Stavropol'-Russia,Budënnovsk,Stavropol',Russia,EMEA,EMEA
Hoover-Alabama-United States,Hoover,Alabama,United States,South,US
Tinaquillo-Cojedes-Venezuela,Tinaquillo,Cojedes,Venezuela,South,LATAM
Gladstone-Queensland-Australia,Gladstone,Queensland,Australia,Oceania,APAC
Columbus-Ohio-United States,Columbus,Ohio,United States,East,US
Kumanovo-Kumanovo-Macedonia,Kumanovo,Kumanovo,Macedonia,EMEA,EMEA
Rondonópolis-Mato Grosso-Brazil,Rondonópolis,Mato Grosso,Brazil,South,LATAM
Metz-Lorraine-France,Metz,Lorraine,France,Central,EU
Tulancingo-Hidalgo-Mexico,Tulancingo,Hidalgo,Mexico,North,LATAM
San Luis Potosí-San Luis Potosí-Mexico,San Luis Potosí,San Luis Potosí,Mexico,North,LATAM
Marikina-National Capital-Philippines,Marikina,National Capital,Philippines,Southeast Asia,APAC
Chula Vista-California-United States,Chula Vista,California,United States,West,US
Mougins-Provence-Alpes-Côte d'Azur-France,Mougins,Provence-Alpes-Côte d'Azur,France,Central,EU
Camagüey-Camagüey-Cuba,Camagüey,Camagüey,Cuba,Caribbean,LATAM
Naples-Campania-Italy,Naples,Campania,Italy,South,EU
Dar Chioukh-Djelfa-Algeria,Dar Chioukh,Djelfa,Algeria,Africa,Africa
Presidente Dutra-Maranhão-Brazil,Presidente Dutra,Maranhão,Brazil,South,LATAM
League City-Texas-United States,League City,Texas,United States,Central,US
Broomfield-Colorado-United States,Broomfield,Colorado,United States,West,US
Sivas-Sivas-Turkey,Sivas,Sivas,Turkey,EMEA,EMEA
Villa Canales-Guatemala-Guatemala,Villa Canales,Guatemala,Guatemala,Central,LATAM
Sialkot-Punjab-Pakistan,Sialkot,Punjab,Pakistan,Central Asia,APAC
Les Herbiers-Pays de la Loire-France,Les Herbiers,Pays de la Loire,France,Central,EU
Wichita-Kansas-United States,Wichita,Kansas,United States,Central,US
Nazilli-Aydin-Turkey,Nazilli,Aydin,Turkey,EMEA,EMEA
Valparaíso de Goiás-Goiás-Brazil,Valparaíso de Goiás,Goiás,Brazil,South,LATAM
Caxias do Sul-Rio Grande do Sul-Brazil,Caxias do Sul,Rio Grande do Sul,Brazil,South,LATAM
San Andrés Tuxtla-Veracruz-Mexico,San Andrés Tuxtla,Veracruz,Mexico,North,LATAM
Manchester-Connecticut-United States,Manchester,Connecticut,United States,East,US
Sassari-Sardinia-Italy,Sassari,Sardinia,Italy,South,EU
Yuanjiang-Hunan-China,Yuanjiang,Hunan,China,North Asia,APAC
Narsingdi-Dhaka-Bangladesh,Narsingdi,Dhaka,Bangladesh,Central Asia,APAC
Qitaihe-Heilongjiang-China,Qitaihe,Heilongjiang,China,North Asia,APAC
Florencia-Caquetá-Colombia,Florencia,Caquetá,Colombia,South,LATAM
Agde-Languedoc-Roussillon-France,Agde,Languedoc-Roussillon,France,Central,EU
Saint-Avold-Lorraine-France,Saint-Avold,Lorraine,France,Central,EU
Loum-Littoral-Cameroon,Loum,Littoral,Cameroon,Africa,Africa
Darton-England-United Kingdom,Darton,England,United Kingdom,North,EU
Fareham-England-United Kingdom,Fareham,England,United Kingdom,North,EU
Troy-New York-United States,Troy,New York,United States,East,US
Franco da Rocha-São Paulo-Brazil,Franco da Rocha,São Paulo,Brazil,South,LATAM
Mildura-Victoria-Australia,Mildura,Victoria,Australia,Oceania,APAC
Chesterfield-England-United Kingdom,Chesterfield,England,United Kingdom,North,EU
Sokoto-Sokoto-Nigeria,Sokoto,Sokoto,Nigeria,Africa,Africa
Segovia-Castile and León-Spain,Segovia,Castile and León,Spain,South,EU
Ananindeua-Pará-Brazil,Ananindeua,Pará,Brazil,South,LATAM
Ivano-Frankivs'k-Ivano-Frankivsk-Ukraine,Ivano-Frankivs'k,Ivano-Frankivsk,Ukraine,EMEA,EMEA
Munster-Lower Saxony-Germany,Munster,Lower Saxony,Germany,Central,EU
Caloundra-Queensland-Australia,Caloundra,Queensland,Australia,Oceania,APAC
Randfontein-Gauteng-South Africa,Randfontein,Gauteng,South Africa,Africa,Africa
Jining-Inner Mongolia-China,Jining,Inner Mongolia,China,North Asia,APAC
Wafangdian-Liaoning-China,Wafangdian,Liaoning,China,North Asia,APAC
Kochi-Kerala-India,Kochi,Kerala,India,Central Asia,APAC
Nanchong-Sichuan-China,Nanchong,Sichuan,China,North Asia,APAC
Estepona-Andalusía-Spain,Estepona,Andalusía,Spain,South,EU
Pine Bluff-Arkansas-United States,Pine Bluff,Arkansas,United States,South,US
Kent-Ohio-United States,Kent,Ohio,United States,East,US
Wendeng-Shandong-China,Wendeng,Shandong,China,North Asia,APAC
Quibdó-Chocó-Colombia,Quibdó,Chocó,Colombia,South,LATAM
Green Bay-Wisconsin-United States,Green Bay,Wisconsin,United States,Central,US
Ilopango-San Salvador-El Salvador,Ilopango,San Salvador,El Salvador,Central,LATAM
Manfredonia-Apulia-Italy,Manfredonia,Apulia,Italy,South,EU
Abha-'Asir-Saudi Arabia,Abha,'Asir,Saudi Arabia,EMEA,EMEA
Tlalnepantla-México-Mexico,Tlalnepantla,México,Mexico,North,LATAM
Peoria-Arizona-United States,Peoria,Arizona,United States,West,US
Esbjerg-South Denmark-Denmark,Esbjerg,South Denmark,Denmark,North,EU
Mesquite-Texas-United States,Mesquite,Texas,United States,Central,US
Iowa City-Iowa-United States,Iowa City,Iowa,United States,Central,US
Gonabad-Razavi Khorasan-Iran,Gonabad,Razavi Khorasan,Iran,EMEA,EMEA
Yangquan-Shanxi-China,Yangquan,Shanxi,China,North Asia,APAC
Saltillo-Coahuila-Mexico,Saltillo,Coahuila,Mexico,North,LATAM
Visalia-California-United States,Visalia,California,United States,West,US
North Miami-Florida-United States,North Miami,Florida,United States,South,US
Samarra'-Salah Ad Din-Iraq,Samarra',Salah Ad Din,Iraq,EMEA,EMEA
Commerce City-Colorado-United States,Commerce City,Colorado,United States,West,US
Rawalpindi-Punjab-Pakistan,Rawalpindi,Punjab,Pakistan,Central Asia,APAC
Rapid City-South Dakota-United States,Rapid City,South Dakota,United States,Central,US
Amagasaki-Hyogo-Japan,Amagasaki,Hyogo,Japan,North Asia,APAC
Nikopol'-Dnipropetrovs'k-Ukraine,Nikopol',Dnipropetrovs'k,Ukraine,EMEA,EMEA
Valinhos-São Paulo-Brazil,Valinhos,São Paulo,Brazil,South,LATAM
Sari-Mazandaran-Iran,Sari,Mazandaran,Iran,EMEA,EMEA
Tembisa-Gauteng-South Africa,Tembisa,Gauteng,South Africa,Africa,Africa
Florence-Kentucky-United States,Florence,Kentucky,United States,South,US
Coslada-Madrid-Spain,Coslada,Madrid,Spain,South,EU
Mangalore-Karnataka-India,Mangalore,Karnataka,India,Central Asia,APAC
Jabalpur-Madhya Pradesh-India,Jabalpur,Madhya Pradesh,India,Central Asia,APAC
Parintins-Amazonas-Brazil,Parintins,Amazonas,Brazil,South,LATAM
Bowling Green-Kentucky-United States,Bowling Green,Kentucky,United States,South,US
Bharatpur-Rajasthan-India,Bharatpur,Rajasthan,India,Central Asia,APAC
Khorramabad-Lorestan-Iran,Khorramabad,Lorestan,Iran,EMEA,EMEA
Sète-Languedoc-Roussillon-France,Sète,Languedoc-Roussillon,France,Central,EU
Boise-Idaho-United States,Boise,Idaho,United States,West,US
Nha Trang-Khánh Hòa-Vietnam,Nha Trang,Khánh Hòa,Vietnam,Southeast Asia,APAC
Hamamatsu-Shizuoka-Japan,Hamamatsu,Shizuoka,Japan,North Asia,APAC
Surrey-British Columbia-Canada,Surrey,British Columbia,Canada,Canada,Canada
Mpumalanga-Kwazulu-natal-South Africa,Mpumalanga,Kwazulu-natal,South Africa,Africa,Africa
Santa Catarina-Nuevo León-Mexico,Santa Catarina,Nuevo León,Mexico,North,LATAM
Bracknell-England-United Kingdom,Bracknell,England,United Kingdom,North,EU
Pasto-Nariño-Colombia,Pasto,Nariño,Colombia,South,LATAM
Musoma-Mara-Tanzania,Musoma,Mara,Tanzania,Africa,Africa
Roodepoort-Gauteng-South Africa,Roodepoort,Gauteng,South Africa,Africa,Africa
Kowloon-Hong Kong-Hong Kong,Kowloon,Hong Kong,Hong Kong,North Asia,APAC
Guatire-Miranda-Venezuela,Guatire,Miranda,Venezuela,South,LATAM
Kawasaki-Fukuoka-Japan,Kawasaki,Fukuoka,Japan,North Asia,APAC
Mandurah-Western Australia-Australia,Mandurah,Western Australia,Australia,Oceania,APAC
Hrodna-Hrodna-Belarus,Hrodna,Hrodna,Belarus,EMEA,EMEA
Semnan-Semnan-Iran,Semnan,Semnan,Iran,EMEA,EMEA
Hyderabad-Telangana-India,Hyderabad,Telangana,India,Central Asia,APAC
Yangjiang-Guangdong-China,Yangjiang,Guangdong,China,North Asia,APAC
Solapur-Maharashtra-India,Solapur,Maharashtra,India,Central Asia,APAC
Ghaziabad-Uttar Pradesh-India,Ghaziabad,Uttar Pradesh,India,Central Asia,APAC
Bondy-Ile-de-France-France,Bondy,Ile-de-France,France,Central,EU
Bengbu-Anhui-China,Bengbu,Anhui,China,North Asia,APAC
Al Mahallah al Kubra-Al Gharbiyah-Egypt,Al Mahallah al Kubra,Al Gharbiyah,Egypt,Africa,Africa
Ixtapaluca-México-Mexico,Ixtapaluca,México,Mexico,North,LATAM
Oleksandriya-Kirovohrad-Ukraine,Oleksandriya,Kirovohrad,Ukraine,EMEA,EMEA
Namangan-Namangan-Uzbekistan,Namangan,Namangan,Uzbekistan,EMEA,EMEA
Yanbu al Bahr-Al Madinah-Saudi Arabia,Yanbu al Bahr,Al Madinah,Saudi Arabia,EMEA,EMEA
Yancheng-Jiangsu-China,Yancheng,Jiangsu,China,North Asia,APAC
Manado-Sulawesi Utara-Indonesia,Manado,Sulawesi Utara,Indonesia,Southeast Asia,APAC
Panipat-Haryana-India,Panipat,Haryana,India,Central Asia,APAC
Bagcilar-Istanbul-Turkey,Bagcilar,Istanbul,Turkey,EMEA,EMEA
Katoomba-New South Wales-Australia,Katoomba,New South Wales,Australia,Oceania,APAC
Jaboticabal-São Paulo-Brazil,Jaboticabal,São Paulo,Brazil,South,LATAM
Evanston-Illinois-United States,Evanston,Illinois,United States,Central,US
Belgaum-Karnataka-India,Belgaum,Karnataka,India,Central Asia,APAC
Dax-Aquitaine-France,Dax,Aquitaine,France,Central,EU
Bullhead City-Arizona-United States,Bullhead City,Arizona,United States,West,US
Bhopal-Madhya Pradesh-India,Bhopal,Madhya Pradesh,India,Central Asia,APAC
Saint-Cyr-sur-Loire-Centre-France,Saint-Cyr-sur-Loire,Centre,France,Central,EU
Plock-Masovia-Poland,Plock,Masovia,Poland,EMEA,EMEA
Hod HaSharon-Central-Israel,Hod HaSharon,Central,Israel,EMEA,EMEA
Evreux-Upper Normandy-France,Evreux,Upper Normandy,France,Central,EU
Waterlooville-England-United Kingdom,Waterlooville,England,United Kingdom,North,EU
Lagny-sur-Marne-Ile-de-France-France,Lagny-sur-Marne,Ile-de-France,France,Central,EU
Lázaro Cárdenas-Michoacán-Mexico,Lázaro Cárdenas,Michoacán,Mexico,North,LATAM
Bragança Paulista-São Paulo-Brazil,Bragança Paulista,São Paulo,Brazil,South,LATAM
Shuangyashan-Heilongjiang-China,Shuangyashan,Heilongjiang,China,North Asia,APAC
Petapa-Guatemala-Guatemala,Petapa,Guatemala,Guatemala,Central,LATAM
Cuttack-Odisha-India,Cuttack,Odisha,India,Central Asia,APAC
Troy-Ohio-United States,Troy,Ohio,United States,East,US
Hechuan-Chongqing-China,Hechuan,Chongqing,China,North Asia,APAC
